section,metric,unit,numerator,denominator,value,source_report_sha256
event_accounting,eligible_event_count,count,null,null,711,b5589590a8c645bd7b5654d0318bf90fdb412f987719c26c2374bf3e487f9ff2
event_accounting,excluded_event_count,count,null,null,0,b5589590a8c645bd7b5654d0318bf90fdb412f987719c26c2374bf3e487f9ff2
event_accounting,missed_eligible_event_count,count,null,null,0,b5589590a8c645bd7b5654d0318bf90fdb412f987719c26c2374bf3e487f9ff2
event_accounting,represented_event_count,count,null,null,711,b5589590a8c645bd7b5654d0318bf90fdb412f987719c26c2374bf3e487f9ff2
event_accounting,suppressed_event_count,count,null,null,378,b5589590a8c645bd7b5654d0318bf90fdb412f987719c26c2374bf3e487f9ff2
event_accounting,valid_event_count,count,null,null,1089,b5589590a8c645bd7b5654d0318bf90fdb412f987719c26c2374bf3e487f9ff2
diagnostic_code_counts,duplicate_event_id_count,count,null,null,0,b5589590a8c645bd7b5654d0318bf90fdb412f987719c26c2374bf3e487f9ff2
diagnostic_code_counts,duplicate_cue_id_count,count,null,null,0,b5589590a8c645bd7b5654d0318bf90fdb412f987719c26c2374bf3e487f9ff2
diagnostic_code_counts,duplicate_render_entry_count,count,null,null,0,b5589590a8c645bd7b5654d0318bf90fdb412f987719c26c2374bf3e487f9ff2
diagnostic_code_counts,duplicate_outcome_count,count,null,null,0,b5589590a8c645bd7b5654d0318bf90fdb412f987719c26c2374bf3e487f9ff2
diagnostic_code_counts,contradictory_outcome_count,count,null,null,0,b5589590a8c645bd7b5654d0318bf90fdb412f987719c26c2374bf3e487f9ff2
diagnostic_code_counts,unresolved_event_count,count,null,null,0,b5589590a8c645bd7b5654d0318bf90fdb412f987719c26c2374bf3e487f9ff2
diagnostic_code_counts,orphan_cue_count,count,null,null,0,b5589590a8c645bd7b5654d0318bf90fdb412f987719c26c2374bf3e487f9ff2
diagnostic_code_counts,orphan_suppression_count,count,null,null,0,b5589590a8c645bd7b5654d0318bf90fdb412f987719c26c2374bf3e487f9ff2
diagnostic_code_counts,orphan_exclusion_count,count,null,null,0,b5589590a8c645bd7b5654d0318bf90fdb412f987719c26c2374bf3e487f9ff2
event_coverage,accounting_completeness,rate,1089,1089,1.0,b5589590a8c645bd7b5654d0318bf90fdb412f987719c26c2374bf3e487f9ff2
event_coverage,eligible_event_coverage,rate,711,711,1.0,b5589590a8c645bd7b5654d0318bf90fdb412f987719c26c2374bf3e487f9ff2
event_coverage,missed_eligible_event_rate,rate,0,711,0.0,b5589590a8c645bd7b5654d0318bf90fdb412f987719c26c2374bf3e487f9ff2
event_coverage,source_representation_rate,rate,711,1089,0.6528925619834711,b5589590a8c645bd7b5654d0318bf90fdb412f987719c26c2374bf3e487f9ff2
