section,metric,unit,numerator,denominator,value,source_report_sha256
event_accounting,eligible_event_count,count,null,null,26960,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
event_accounting,excluded_event_count,count,null,null,0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
event_accounting,missed_eligible_event_count,count,null,null,0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
event_accounting,represented_event_count,count,null,null,26960,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
event_accounting,suppressed_event_count,count,null,null,3043,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
event_accounting,valid_event_count,count,null,null,30003,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
diagnostic_code_counts,duplicate_event_id_count,count,null,null,0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
diagnostic_code_counts,duplicate_cue_id_count,count,null,null,0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
diagnostic_code_counts,duplicate_render_entry_count,count,null,null,0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
diagnostic_code_counts,duplicate_outcome_count,count,null,null,0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
diagnostic_code_counts,contradictory_outcome_count,count,null,null,0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
diagnostic_code_counts,unresolved_event_count,count,null,null,0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
diagnostic_code_counts,orphan_cue_count,count,null,null,0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
diagnostic_code_counts,orphan_suppression_count,count,null,null,0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
diagnostic_code_counts,orphan_exclusion_count,count,null,null,0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
event_coverage,accounting_completeness,rate,30003,30003,1.0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
event_coverage,eligible_event_coverage,rate,26960,26960,1.0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
event_coverage,missed_eligible_event_rate,rate,0,26960,0.0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
event_coverage,source_representation_rate,rate,26960,30003,0.8985768089857681,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
event_coverage,suppression_rate,rate,3043,30003,0.10142319101423192,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,scheduling.seconds.count,seconds,null,null,26960,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,scheduling.seconds.maximum,seconds,null,null,3.33333335e-07,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,scheduling.seconds.mean,seconds,null,null,2.2226755693066802e-07,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,scheduling.seconds.median,seconds,null,null,3.33333333e-07,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,scheduling.seconds.minimum,seconds,null,null,0.0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,scheduling.seconds.p95,seconds,null,null,3.33333334e-07,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,scheduling.samples.count,samples,null,null,26960,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,scheduling.samples.maximum,samples,null,null,0.0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,scheduling.samples.mean,samples,null,null,0.0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,scheduling.samples.median,samples,null,null,0.0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,scheduling.samples.minimum,samples,null,null,0.0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,scheduling.samples.p95,samples,null,null,0.0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,render_placement.seconds.count,seconds,null,null,26960,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,render_placement.seconds.maximum,seconds,null,null,3.3333333333333335e-07,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,render_placement.seconds.mean,seconds,null,null,2.222675568743818e-07,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,render_placement.seconds.median,seconds,null,null,3.3333333333333335e-07,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,render_placement.seconds.minimum,seconds,null,null,0.0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,render_placement.seconds.p95,seconds,null,null,3.3333333333333335e-07,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,render_placement.samples.count,samples,null,null,26960,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,render_placement.samples.maximum,samples,null,null,0.0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,render_placement.samples.mean,samples,null,null,0.0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,render_placement.samples.median,samples,null,null,0.0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,render_placement.samples.minimum,samples,null,null,0.0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,render_placement.samples.p95,samples,null,null,0.0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,end_to_end.seconds.count,seconds,null,null,26960,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,end_to_end.seconds.maximum,seconds,null,null,1.66666666667e-15,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,end_to_end.seconds.mean,seconds,null,null,3.292202027694528e-16,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,end_to_end.seconds.median,seconds,null,null,3.3333333333e-16,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,end_to_end.seconds.minimum,seconds,null,null,0.0,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
timing_alignment,end_to_end.seconds.p95,seconds,null,null,1.33333333333e-15,d847e805d0b2d7ccd50cd315bbcecfc0ad525f40e7c4c2013938f955d20f13e5
