table_id,metric,unit_or_denominator,mot17_raw_value,mot17_displayed_value,mot17_manifest_id,kitti_raw_value,kitti_displayed_value,kitti_manifest_id
table-2a,Scheduling count,samples,26960,"26,960",mot17.timing.scheduling.count_samples,711,711,kitti.timing.scheduling.count_samples
table-2a,Scheduling minimum,samples,0.0,0,mot17.timing.scheduling.minimum_samples,0.0,0,kitti.timing.scheduling.minimum_samples
table-2a,Scheduling maximum,samples,0.0,0,mot17.timing.scheduling.maximum_samples,0.0,0,kitti.timing.scheduling.maximum_samples
table-2a,Scheduling mean,samples,0.0,0,mot17.timing.scheduling.mean_samples,0.0,0,kitti.timing.scheduling.mean_samples
table-2a,Scheduling median,samples,0.0,0,mot17.timing.scheduling.median_samples,0.0,0,kitti.timing.scheduling.median_samples
table-2a,Scheduling p95,samples,0.0,0,mot17.timing.scheduling.p95_samples,0.0,0,kitti.timing.scheduling.p95_samples
table-2a,Scheduling count,seconds,26960,"26,960",mot17.timing.scheduling.count_seconds,711,711,kitti.timing.scheduling.count_seconds
table-2a,Scheduling minimum,seconds,0.0,0,mot17.timing.scheduling.minimum_seconds,0.0,0,kitti.timing.scheduling.minimum_seconds
table-2a,Scheduling maximum,seconds,3.33333335e-07,3.33333335e-07,mot17.timing.scheduling.maximum_seconds,0.0,0,kitti.timing.scheduling.maximum_seconds
table-2a,Scheduling mean,seconds,2.2226755693066802e-07,2.22267557e-07,mot17.timing.scheduling.mean_seconds,0.0,0,kitti.timing.scheduling.mean_seconds
table-2a,Scheduling median,seconds,3.33333333e-07,3.33333333e-07,mot17.timing.scheduling.median_seconds,0.0,0,kitti.timing.scheduling.median_seconds
table-2a,Scheduling p95,seconds,3.33333334e-07,3.33333334e-07,mot17.timing.scheduling.p95_seconds,0.0,0,kitti.timing.scheduling.p95_seconds
table-2a,Render Placement count,samples,26960,"26,960",mot17.timing.render_placement.count_samples,711,711,kitti.timing.render_placement.count_samples
table-2a,Render Placement minimum,samples,0.0,0,mot17.timing.render_placement.minimum_samples,0.0,0,kitti.timing.render_placement.minimum_samples
table-2a,Render Placement maximum,samples,0.0,0,mot17.timing.render_placement.maximum_samples,0.0,0,kitti.timing.render_placement.maximum_samples
table-2a,Render Placement mean,samples,0.0,0,mot17.timing.render_placement.mean_samples,0.0,0,kitti.timing.render_placement.mean_samples
table-2a,Render Placement median,samples,0.0,0,mot17.timing.render_placement.median_samples,0.0,0,kitti.timing.render_placement.median_samples
table-2a,Render Placement p95,samples,0.0,0,mot17.timing.render_placement.p95_samples,0.0,0,kitti.timing.render_placement.p95_samples
table-2a,Render Placement count,seconds,26960,"26,960",mot17.timing.render_placement.count_seconds,711,711,kitti.timing.render_placement.count_seconds
table-2a,Render Placement minimum,seconds,0.0,0,mot17.timing.render_placement.minimum_seconds,0.0,0,kitti.timing.render_placement.minimum_seconds
table-2a,Render Placement maximum,seconds,3.3333333333333335e-07,3.33333333e-07,mot17.timing.render_placement.maximum_seconds,0.0,0,kitti.timing.render_placement.maximum_seconds
table-2a,Render Placement mean,seconds,2.222675568743818e-07,2.22267557e-07,mot17.timing.render_placement.mean_seconds,0.0,0,kitti.timing.render_placement.mean_seconds
table-2a,Render Placement median,seconds,3.3333333333333335e-07,3.33333333e-07,mot17.timing.render_placement.median_seconds,0.0,0,kitti.timing.render_placement.median_seconds
table-2a,Render Placement p95,seconds,3.3333333333333335e-07,3.33333333e-07,mot17.timing.render_placement.p95_seconds,0.0,0,kitti.timing.render_placement.p95_seconds
table-2a,End To End count,samples,26960,"26,960",mot17.timing.end_to_end.count_samples,711,711,kitti.timing.end_to_end.count_samples
table-2a,End To End minimum,samples,0.0,0,mot17.timing.end_to_end.minimum_samples,0.0,0,kitti.timing.end_to_end.minimum_samples
table-2a,End To End maximum,samples,0.0,0,mot17.timing.end_to_end.maximum_samples,0.0,0,kitti.timing.end_to_end.maximum_samples
table-2a,End To End mean,samples,0.0,0,mot17.timing.end_to_end.mean_samples,0.0,0,kitti.timing.end_to_end.mean_samples
table-2a,End To End median,samples,0.0,0,mot17.timing.end_to_end.median_samples,0.0,0,kitti.timing.end_to_end.median_samples
table-2a,End To End p95,samples,0.0,0,mot17.timing.end_to_end.p95_samples,0.0,0,kitti.timing.end_to_end.p95_samples
table-2a,End To End count,seconds,26960,"26,960",mot17.timing.end_to_end.count_seconds,711,711,kitti.timing.end_to_end.count_seconds
table-2a,End To End minimum,seconds,0.0,0,mot17.timing.end_to_end.minimum_seconds,0.0,0,kitti.timing.end_to_end.minimum_seconds
table-2a,End To End maximum,seconds,1.66666666667e-15,1.66666667e-15,mot17.timing.end_to_end.maximum_seconds,0.0,0,kitti.timing.end_to_end.maximum_seconds
table-2a,End To End mean,seconds,3.292202027694528e-16,3.29220203e-16,mot17.timing.end_to_end.mean_seconds,0.0,0,kitti.timing.end_to_end.mean_seconds
table-2a,End To End median,seconds,3.3333333333e-16,3.33333333e-16,mot17.timing.end_to_end.median_seconds,0.0,0,kitti.timing.end_to_end.median_seconds
table-2a,End To End p95,seconds,1.33333333333e-15,1.33333333e-15,mot17.timing.end_to_end.p95_seconds,0.0,0,kitti.timing.end_to_end.p95_seconds
