table_id,metric,unit_or_denominator,mot17_raw_value,mot17_displayed_value,mot17_manifest_id,kitti_raw_value,kitti_displayed_value,kitti_manifest_id
table-3,Rendered duration,seconds,20.086666666666666,20.086667,mot17.density.rendered_duration_seconds,15.42,15.420000,kitti.density.rendered_duration_seconds
table-3,Cue count,cues,26960,"26,960",mot17.density.cue_count,711,711,kitti.density.cue_count
table-3,Cues per second,cues/second,1342.1838698971126,1342.18,mot17.density.cues_per_second,46.10894941634241,46.11,kitti.density.cues_per_second
table-3,Cues per minute,cues/minute,80531.03219382676,80531.03,mot17.density.cues_per_minute,2766.536964980545,2766.54,kitti.density.cues_per_minute
table-3,Maximum starts within one second,cue starts; half-open window,1500,"1,500",mot17.density.maximum_starts_one_second,116,116,kitti.density.maximum_starts_one_second
table-3,Peak concurrency,cues,203,203,mot17.overlap.peak_concurrency,24,24,kitti.overlap.peak_concurrency
table-3,Overlap duration,seconds,20.086666666666666,20.086667,mot17.overlap.duration_seconds,15.42,15.420000,kitti.overlap.duration_seconds
table-3,Overlap proportion,overlap duration / rendered duration,1.0,20.086667 / 20.086667 (100.00%),mot17.overlap.proportion,1.0,15.420000 / 15.420000 (100.00%),kitti.overlap.proportion
table-3,Excess concurrent cue-seconds,cue-seconds,3215.1133333333332,3215.113333,mot17.overlap.excess_concurrent_cue_seconds,69.9,69.900000,kitti.overlap.excess_concurrent_cue_seconds
table-3,Normalised overlap burden,excess concurrent cues,160.0620643876535,160.06,mot17.overlap.normalised_burden,4.533073929961089,4.53,kitti.overlap.normalised_burden
